;MGLU3.SA.Close
26/04/2019;22,3687
29/04/2019;22,3137
30/04/2019;23,907499
02/05/2019;23,842501
03/05/2019;24,5312
06/05/2019;25,0263
07/05/2019;24,0187
08/05/2019;24,1875
09/05/2019;23,237499
10/05/2019;23,3125
13/05/2019;22,502501
14/05/2019;22,2812
15/05/2019;21,625
16/05/2019;20,875
17/05/2019;21,102501
20/05/2019;21,625
21/05/2019;22,4263
22/05/2019;22,5312
23/05/2019;22,5562
24/05/2019;22,1063
27/05/2019;22,25
28/05/2019;23,625
29/05/2019;23,6588
30/05/2019;24,1112
31/05/2019;24,5
03/06/2019;24,342501
04/06/2019;24,315001
05/06/2019;23,8988
06/06/2019;23,7512
07/06/2019;24,8062
10/06/2019;25,3125
11/06/2019;25,8988
12/06/2019;25,389999
13/06/2019;26,2013
14/06/2019;26,446301
17/06/2019;25,9375
18/06/2019;26,012501
19/06/2019;26,25
21/06/2019;26,5812
24/06/2019;26,247499
25/06/2019;25,8137
26/06/2019;26,0562
27/06/2019;26,0812
28/06/2019;26,389999
01/07/2019;26,275
02/07/2019;26,557501
03/07/2019;27,6063
04/07/2019;27,637501
05/07/2019;28,26
08/07/2019;28,674999
10/07/2019;29,1875
11/07/2019;28,8463
12/07/2019;29,0063
15/07/2019;28,8312
16/07/2019;29,25
17/07/2019;30,5487
18/07/2019;30,875
19/07/2019;29,7563
22/07/2019;30,9188
23/07/2019;30,25
24/07/2019;30,7262
25/07/2019;30,559999
26/07/2019;31,5
29/07/2019;32,974998
30/07/2019;33,068699
31/07/2019;32,965
01/08/2019;34,5625
02/08/2019;35,443699
05/08/2019;34,5
06/08/2019;36,599998
07/08/2019;36,310001
08/08/2019;37,139999
09/08/2019;37,779999
12/08/2019;36,419998
13/08/2019;37,849998
14/08/2019;36,950001
15/08/2019;36,310001
16/08/2019;37,560001
19/08/2019;37,830002
20/08/2019;36,529999
21/08/2019;36,540001
22/08/2019;34,43
23/08/2019;33,779999
26/08/2019;33,700001
27/08/2019;34,209999
28/08/2019;34,91
29/08/2019;37,259998
30/08/2019;36,290001
02/09/2019;36,610001
03/09/2019;35,880001
04/09/2019;37,200001
05/09/2019;36,700001
06/09/2019;36
09/09/2019;34,200001
10/09/2019;32,5
11/09/2019;34,599998
12/09/2019;35
13/09/2019;34,099998
16/09/2019;34,869999
17/09/2019;34,849998
18/09/2019;35,060001
19/09/2019;35,810001
20/09/2019;36,560001
23/09/2019;35,990002
24/09/2019;36,77
25/09/2019;36,720001
26/09/2019;36,57
27/09/2019;36,799999
30/09/2019;37,040001
01/10/2019;37,450001
02/10/2019;36,5
03/10/2019;37,299999
04/10/2019;38,779999
07/10/2019;38,400002
08/10/2019;38
09/10/2019;39,650002
10/10/2019;38,939999
11/10/2019;40,5
14/10/2019;42,169998
15/10/2019;41,799999
16/10/2019;42,759998
17/10/2019;43,169998
18/10/2019;43
21/10/2019;43,099998
22/10/2019;43,720001
23/10/2019;43,490002
24/10/2019;43,25
25/10/2019;42
28/10/2019;42,669998
29/10/2019;41,150002
30/10/2019;44,02
31/10/2019;44,639999
01/11/2019;47,189999
04/11/2019;44,970001
05/11/2019;44,040001
06/11/2019;45,200001
07/11/2019;44,200001
08/11/2019;43,810001
11/11/2019;45,02
12/11/2019;43,400002
13/11/2019;42,5
14/11/2019;44,25
18/11/2019;44,98
19/11/2019;44,52
21/11/2019;45
22/11/2019;45,490002
25/11/2019;44,299999
26/11/2019;43,040001
27/11/2019;45,599998
28/11/2019;45,599998
29/11/2019;45,029999
02/12/2019;44,919998
03/12/2019;44,59
04/12/2019;44,07
05/12/2019;44,889999
06/12/2019;45,400002
09/12/2019;45,849998
10/12/2019;46,599998
11/12/2019;47,580002
12/12/2019;47,830002
13/12/2019;49,07
16/12/2019;49,299999
17/12/2019;47,880001
18/12/2019;48,529999
19/12/2019;48,619999
20/12/2019;48,59
23/12/2019;48,740002
26/12/2019;49,09
27/12/2019;48,73
30/12/2019;47,700001
02/01/2020;49,330002
03/01/2020;48,889999
06/01/2020;48,93
07/01/2020;48,790001
08/01/2020;50,290001
09/01/2020;52,080002
10/01/2020;51,799999
13/01/2020;54,23
14/01/2020;54
15/01/2020;53,66
16/01/2020;53,459999
17/01/2020;54,349998
20/01/2020;56
21/01/2020;55,91
22/01/2020;55,689999
23/01/2020;56,580002
24/01/2020;56,150002
27/01/2020;53,799999
28/01/2020;56,990002
29/01/2020;57,290001
30/01/2020;56,5
31/01/2020;55,799999
03/02/2020;56,529999
04/02/2020;57,66
05/02/2020;57,299999
06/02/2020;55,830002
07/02/2020;54,23
10/02/2020;52,380001
11/02/2020;54,27
12/02/2020;55,939999
13/02/2020;57,049999
14/02/2020;56,330002
17/02/2020;58,849998
18/02/2020;58,220001
19/02/2020;57,860001
20/02/2020;56,540001
21/02/2020;56,450001
26/02/2020;NA
27/02/2020;50,25
28/02/2020;50,52
02/03/2020;52,549999
03/03/2020;52,849998
04/03/2020;52,450001
05/03/2020;47,790001
06/03/2020;45,330002
09/03/2020;40,360001
10/03/2020;46,990002
11/03/2020;43,080002
